IP_SGSN;TAP
114.4.20.192;IDNSL
114.4.20.192/28;IDNSL
114.5.15.208;IDNSL
114.5.15.208/28;IDNSL
1.66.0.0;JPNDO
1.66.0.0/22;JPNDO
1.66.3.255;JPNDO
101.119.240.0;AUSVF
101.119.240.0/20;AUSVF
101.119.255.255;AUSVF
101.119.4.0;AUSVF
101.119.4.0/24;AUSVF
101.119.4.255;AUSVF
103.1.164.0;THAWP
103.1.164.0/25;THAWP
103.1.164.127;THAWP
103.1.164.128;THAWP
103.1.164.128/26;THAWP
103.1.164.191;THAWP
103.1.165.0;THAWP
103.1.165.0/25;THAWP
103.1.165.127;THAWP
103.1.165.128;THAWP
103.1.165.128/26;THAWP
103.1.165.191;THAWP
103.1.166.0;THAWP
103.1.166.0/26;THAWP
103.1.166.112;THAWP
103.1.166.112/28;THAWP
103.1.166.127;THAWP
103.1.166.128;THAWP
103.1.166.128/25;THAWP
103.1.166.255;THAWP
103.1.166.63;THAWP
103.1.166.64;THAWP
103.1.166.64/27;THAWP
103.1.166.95;THAWP
103.1.167.0;THAWP
103.1.167.0/26;THAWP
